ID,Denumire,Ordine,Logo,CUI,Adresa,Judet,UAT,tip-partid
ALO,PARTIDUL ALIANTA LEGE SI ORDINE,,lipsa.jpg,39139838,"MUNICIPIUL BUCUREŞTI, SECTORUL 4, str. ANTON COLORIAN, nr. 37",,București,
PNATIONALIST,PARTIDUL NAȚIONALIST,,lipsa.jpg,38390245,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Iani Buzoianu, nr. 3, bl. 16, ap. 53, CP011571",B,București,
PV-DR,PARTIDUL VIOLET DEMOCRATIE DIRECTA,,lipsa.jpg,466052,"MUNICIPIUL BUCUREŞTI, SECTORUL 6, str. IULIU MANIU, nr. 78-92",B,București,
PACAR,PARTIDUL ALIANȚA CREȘTINĂ ADEVĂRATĂ ROMÂNĂ,,lipsa.jpg,39448957,"BIHOR, POPEŞTI, BACĂU, MUNICIPIUL BACĂU, str. I. Ionescu de la Brad, bl. 84, ap. 3, bl. 92, ap. 3, CP417930",BC,,
PNROM,PARTIDUL NAȚIUNEA ROMÂNĂ,,lipsa.jpg,38291713,"MUNICIPIUL BUCUREŞTI, SECTORUL 2, str. Leonida, nr. 16",B,București,
PA,PARTIDUL ARĂDENILOR,,lipsa.jpg,40059244,"ARAD, ORAŞ PECICA, str. 305, nr. 11",AD,,
PMAK,PARTIDUL MAKEDONARMANILOR DIN ROMÂNIA,,lipsa.jpg,37168217,"CONSTANŢA, MUNICIPIUL CONSTANŢA, str. BD. TOMIS, nr. 218, bl. TD5A, ap. cam 1, CP900652",CT,Constanța,
AMT,ALIANȚA MAGHIARĂ DIN TRANSILVANIA,,lipsa.jpg,42892304,"CLUJ, MUNICIPIUL CLUJ-NAPOCA, str. SUCEAVA, nr. 17, CP400219",CJ,Cluj-Napoca,
PROMANIROMANIA,PARTIDUL ROMÂNI PENTRU ROMÂNIA,,lipsa.jpg,38462732,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. ARISTOTEL PAPPIA, nr. 40",B,București,
ICM,PARTIDUL INDEPENDENȚII COMUNEI MOȘNIȚA,,lipsa.jpg,42948219,"TIMIŞ, MOŞNIŢA NOUĂ, str. SAT MOȘNIȚA VECHE, STR.BISTREI, nr. 31",TM,Timișoara,
PLORDR,PARTIDUL LIGA ORGANIZATA A REGIUNILOR DREPTE,,lipsa.jpg,36029296,"CONSTANŢA, MUNICIPIUL CONSTANŢA, str. BD. AUREL VLAICU, nr. 144, bl. PHOENIX RESORT, ap. Birourile 401-410, CP900498",CT,Constanța,
ACN,PARTIDUL APĂRĂTORII COPIILOR NOȘTRI,,lipsa.jpg,37987491,"MUNICIPIUL BUCUREŞTI, SECTORUL 2, str. ARDELENI, nr. 12, ap. 2",,București,
CTA,PARTIDUL CONSTANȚA ALTFEL,,lipsa.jpg,46058019,"CONSTANŢA, MUNICIPIUL CONSTANŢA, str. BOGDAN PETRICEICU HASDEU, nr. 21",CT,Constanța,
IPM,PARTIDUL ÎMPREUNĂ PENTRU MOLDOVA,,lipsa.jpg,42169740,"IAŞI, MUNICIPIUL IAŞI, str. Spancioc, nr. 12A",IS,,
PBACAUANILOR,PARTIDUL BĂCĂUANILOR,,lipsa.jpg,42396831,"BACĂU, MUNICIPIUL BACĂU, str. I. Ionescu de la Brad, bl. 84, ap. 3",BC,,
PCOR,PARTIDUL COMUNITAR DIN ROMÂNIA,,lipsa.jpg,35329520,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. PARIS, nr. 36A, ap. 4, CP11814",B,București,
PCP,PARTIDUL CINSTE ȘI PROSPERITATE,,lipsa.jpg,41036087,"BIHOR, POPEŞTI, str. Sat Voivozi, str.Principală, nr. 438, CP417397",,,
PDP,PARTIDUL DIASPORA ȘI PRIETENII,,lipsa.jpg,42324100,"HUNEDOARA, ORAŞ GEOAGIU, str. Localitate Băcîia, nr. 15",,,
PDR,PARTIDUL DREAPTA REPUBLICANĂ,,lipsa.jpg,41200472,"MUNICIPIUL BUCUREŞTI, SECTORUL 6, str. IULIU MANIU, nr. 78-92",B,București,
PDS,PARTIDUL DREPTĂȚII SOCIALE,,lipsa.jpg,30873147,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Nicolae Balcescu, nr. 17-19",B,București,
PFIN-2,PARTIDUL FORȚA IDENTITĂțII NAȚIONALE,,lipsa.jpg,36257820,"BISTRIŢA-NĂSĂUD, MUNICIPIUL BISTRIŢA, str. Bd.Independentei, nr. 4, bl. 4, ap. 13, CP420170",,,
PIP,PARTIDUL INIȚIATIVA PĂTÂRLAGELE,,lipsa.jpg,42174827,"BUZĂU, ORAŞ PĂTÂRLAGELE, str. Alexandru Ioan Cuza, nr. 19, CP127430",,,
PMME,PARTIDUL MIȘCAREA PENTRU MEDGIDIA,,lipsa.jpg,36005610,"CONSTANŢA, MUNICIPIUL MEDGIDIA, str. REPUBLICII, nr. 9, bl. G2, CP905600",CT,Medgidia,
PNA,PARTIDUL NAȚIONAL AGRAR,,lipsa.jpg,36526856,"ILFOV, ORAŞ VOLUNTARI, str. SOS.PIPERA-TUNARI, nr. 86-88, bl. VILA 7",,,
PNDR,PARTIDUL NOUA DREAPTĂ,,lipsa.jpg,35338285,"MUNICIPIUL BUCUREŞTI, SECTORUL 2, str. VIITORULUI, nr. 81, CP020606",B,București,
PNG,PARTIDUL NOUA GENERATIE,,lipsa.jpg,12622830,"Adresă: Strada Blănari, Sector 3, Municipiul București",B,București,
PPAM,PARTIDUL PENTRU ARGEȘ ȘI MUSCEL,,lipsa.jpg,35324425,"ARGEŞ, MUNICIPIUL PITEŞTI, str. Unirii, ap. 11, CP110013",,,
PPDD,PARTIDUL POPORULUI - DAN DIACONESCU,,PPDD.jpg,29218381,"Strada Preciziei, Sector 6, Municipiul București",B,București,
PPPHRALIPER,PARTIDUL PHRALIPE AL ROMILOR,,lipsa.jpg,40745757,"ALBA, MUNICIPIUL ALBA IULIA, str. BD.REVOLUTIEI 1989, nr. 5, bl. V1D, ap. 14",,,
PRMD,PARTIDUL ROMÂNIA MODERNĂ ȘI DEMNĂ,,lipsa.jpg,38984426,"CONSTANŢA, MUNICIPIUL MANGALIA, str. Plopilor, nr. 5, CP905550",CT,Mangalia,
PRRO,PARTIDUL REPUBLICAN DIN ROMÂNIA,,lipsa.jpg,34323634,"MUNICIPIUL BUCUREŞTI, SECTORUL 1, str. Dem. I. Mendeleev, nr. 3",B,București,
PSC,PARTIDUL SOCIALIST CREȘTIN,,lipsa.jpg,36823474,"MUNICIPIUL BUCUREŞTI, SECTORUL 3, str. ANGHEL SALIGNY, nr. 8",B,București,
PST,PARTIDUL STEJARILOR,,lipsa.jpg,36711489,"MUNICIPIUL BUCUREŞTI, SECTORUL 5, str. Aleea Posada, nr. 8, bl. 31, ap. 19, CP51414",B,București,
